City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,novo aripuana,-5.1206,-60.3797,34.1,44,34,1.12,BR,1674321455
83,arraial do cabo,-22.9661,-42.0278,23.98,88,75,1.54,BR,1674321602
84,genhe,50.7833,121.5167,-35.8,100,100,0.86,CN,1674321602
85,alenquer,-1.9417,-54.7383,27.41,77,27,1.19,BR,1674321603
86,faya,18.3851,42.4509,14.06,69,16,1.85,SA,1674321603
87,campoverde,-8.4753,-74.8058,28.83,50,88,1.82,PE,1674321604
88,sturgeon falls,46.3646,-79.9326,-8.02,94,100,1.32,CA,1674321604
89,male,4.1748,73.5089,27.97,69,75,5.66,MV,1674321605
90,khovu-aksy,51.1333,93.6,-25.67,96,100,2.02,RU,1674321605
91,seoul,37.5683,126.9778,-2.24,54,0,2.06,KR,1674321606
92,mount gambier,-37.8333,140.7667,13.56,94,8,3.69,AU,1674321606
93,maniitsoq,65.4167,-52.9,-21.53,95,95,5.85,GL,1674321606
94,dunedin,-45.8742,170.5036,13.22,74,65,3.17,NZ,1674321337
95,port alfred,-33.5906,26.891,24.54,94,72,1.79,ZA,1674321607
96,lahnstein,50.3,7.6167,0.04,84,97,2.47,DE,1674321607
97,timizart,36.8,4.2667,5.31,92,100,2.37,DZ,1674321608
98,tucupita,9.0622,-62.051,29.01,55,89,3.73,VE,1674321608
99,abu samrah,35.3029,37.1841,11.18,62,0,3.37,SY,1674321609
100,oktyabrskoye,43.0645,44.7417,-2.92,100,100,3.0,RU,1674321609
101,el grullo,19.8,-104.2167,25.28,40,6,0.25,MX,1674321609
102,rudnyy,52.9594,63.1206,-16.87,89,4,1.96,KZ,1674321610
103,sao gabriel,-30.3364,-54.32,35.02,31,98,4.07,BR,1674321463
104,vao,-22.6667,167.4833,25.84,88,100,12.03,NC,1674321611
105,mahebourg,-20.4081,57.7,26.16,83,40,1.54,MU,1674321611
106,muzhi,65.3667,64.6667,-7.29,96,100,2.5,RU,1674321612
107,mokhsogollokh,61.4681,128.9203,-45.72,98,99,1.74,RU,1674321612
108,la libertad,-2.2333,-80.9,27.81,69,0,3.09,EC,1674321612
109,altea,38.5989,-0.0514,12.43,38,2,8.24,ES,1674321613
110,tanabe,33.7333,135.3667,2.01,72,30,3.37,JP,1674321613
111,ponta do sol,32.6667,-17.1,19.35,67,37,2.2,PT,1674321614
112,cayenne,4.9333,-52.3333,28.02,74,75,4.63,GF,1674321614
113,kavieng,-2.5744,150.7967,27.19,79,100,2.76,PG,1674321615
114,kaitangata,-46.2817,169.8464,8.05,85,58,2.65,NZ,1674321615
115,bafia,4.75,11.2333,28.96,26,87,2.33,CM,1674321330
116,ivdel,60.6911,60.4206,-3.85,78,100,5.24,RU,1674321616
117,flinders,-34.5833,150.8552,19.54,83,100,1.79,AU,1674321616
118,piterka,50.6803,47.4454,-6.97,84,33,5.13,RU,1674321617
119,sabha,27.0377,14.4283,12.93,20,0,1.98,LY,1674321617
120,port lincoln,-34.7333,135.8667,16.59,74,77,6.96,AU,1674321325
121,saint-georges,12.0564,-61.7485,29.82,62,20,10.29,GD,1674321618
122,bengkulu,-3.8004,102.2655,24.59,89,99,2.2,ID,1674321618
123,fortuna,40.5982,-124.1573,2.19,93,0,3.6,US,1674321619
124,talnakh,69.4865,88.3972,-25.01,70,100,5.79,RU,1674321619
125,quang ngai,15.1167,108.8,20.44,88,91,2.21,VN,1674321619
126,klaksvik,62.2266,-6.589,8.51,94,100,16.72,FO,1674321620
127,qaanaaq,77.484,-69.3632,-35.08,61,4,3.11,GL,1674321620
128,glasgow,55.8652,-4.2576,5.01,81,100,3.6,GB,1674321584
129,hilo,19.7297,-155.09,22.38,70,20,4.63,US,1674321395
130,kita,13.0349,-9.4895,35.38,9,0,1.85,ML,1674321621
131,tuktoyaktuk,69.4541,-133.0374,-19.0,78,100,3.09,CA,1674321621
132,launceston,-41.45,147.1667,14.8,82,100,0.0,AU,1674321622
133,tsumeb,-19.2333,17.7167,26.26,53,92,2.48,NA,1674321623
134,makakilo city,21.3469,-158.0858,25.18,76,40,5.66,US,1674321623
135,codrington,-38.2667,141.9667,14.22,94,15,3.92,AU,1674321623
136,cockburn town,21.4612,-71.1419,26.98,65,40,4.12,TC,1674321624
137,saint-denis,48.9167,2.3333,2.86,74,0,5.66,FR,1674321624
138,xining,36.6167,101.7667,-9.38,40,100,1.36,CN,1674321625
139,longview,32.5007,-94.7405,12.14,57,75,3.6,US,1674321469
140,hun,29.1268,15.9477,13.05,13,0,1.52,LY,1674321625
141,lira,2.235,32.9097,27.33,22,35,3.6,UG,1674321626
142,road town,18.4167,-64.6167,28.05,65,40,4.63,VG,1674321626
143,cidreira,-30.1811,-50.2056,26.45,72,91,6.44,BR,1674321626
144,whitehorse,60.7161,-135.0538,-0.57,69,75,7.2,CA,1674321627
145,hithadhoo,-0.6,73.0833,27.39,66,5,7.02,MV,1674321627
146,meulaboh,4.1363,96.1285,24.26,85,99,0.97,ID,1674321628
147,pangody,65.85,74.4859,-14.86,93,100,7.08,RU,1674321628
148,kamaishi,39.2667,141.8833,-1.94,62,14,3.82,JP,1674321628
149,sovetskiy,61.3614,63.5842,-3.62,88,100,3.9,RU,1674321629
